name,desc,sort,is_premium
Brand Ambassadors,"Our brand ambassadors are the face of your brand, engaging with customers and creating lasting connections that resonate long after the event.",1,0
Sales Ambassadors,"Dedicated to driving sales, our sales ambassadors know how to connect with your audience, understand their needs, and convert interest into action.",2,0
Promotional Modeling,"Our promotional models bring your brand to life with charisma and professionalism, making every campaign more impactful and memorable.",3,0
Photoshoot and Runway Modeling,"Whether itâ€™s for a photoshoot or a runway show, our models excel at showcasing your products in a way that captivates and compels.",4,0
Product Sampling and Demonstration,"We offer hands-on product sampling and demonstrations that highlight the unique features of your product, encouraging immediate engagement and interest.",5,0
Event Hostesses,"Our event hostesses ensure your guests feel welcomed and attended to, creating a seamless and enjoyable experience from start to finish.",6,0
Bottle Service,"Elevate the VIP experience with our bottle service professionals who bring flair and finesse to every event, ensuring top-tier service.",7,0
Bar Services,"Our experienced bartenders serve up drinks with a side of charm, ensuring that your guests enjoy not only their beverages but the entire bar experience.",8,0
Front Gate Services,"From greeting guests to managing entries, our front gate staff provides a warm and organized welcome, setting the tone for a successful event.",9,0
Promotional Dancers,-,10,1
Stage Management,-,11,1
Photography,-,12,1
Videography,-,13,1